update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
95,24320,40.03821862,575,0,0,0,0,1.941366017,-0.005645705,-0.001874004,1.23E-06,0.001422845,0,0,0,0
,,,,,,,,,,,,,,,,
96,24576,41.61739849,582,0,0,0,0,1.930569291,-0.026409258,0.008491868,2.31E-05,0.006396513,0,0,0,0
,,,,,,,,,,,,,,,,
97,24832,38.7283858,588,0,0,0,0,1.915468037,-0.023374033,-0.01937862,9.29E-05,0.024259579,0,0,0,0
,,,,,,,,,,,,,,,,
98,25088,39.1011985,595,0,0,0,0,1.915895104,-0.01474304,-0.004966292,3.69E-05,0.012296057,0,0,0,0
,,,,,,,,,,,,,,,,
99,25344,39.7867298,601,0,0,0,0,1.907317996,-0.020712296,-0.004030117,2.03E-05,0.006608704,0,0,0,0
,,,,,,,,,,,,,,,,
100,25600,39.59193481,608,0,0,0,0,1.933750272,-0.013899566,-0.004682901,2.26E-06,0.004038934,0,0,0,0
,,,,,,,,,,,,,,,,
101,25856,40.29737547,614,0,0,0,0,1.938131452,-0.011931751,-0.003115365,2.49E-06,0.002623978,0,0,0,0
,,,,,,,,,,,,,,,,
102,26112,40.79420507,620,-1,0,-1,-1,1.881361544,-0.104617886,0.101004723,0.042234849,0.099078941,-1,0,-1,-1
,,,,,,,,,,,,,,,,
103,26368,39.81646884,627,-1,0,-1,-1,1.890098274,-0.05127929,-0.014174823,4.48E-05,0.015247271,-1,0,-1,-1
,,,,,,,,,,,,,,,,
104,26624,41.24680045,633,0,0,0,0,1.900348127,-0.047237886,-0.011590432,7.04E-05,0.012245043,0,0,0,0
,,,,,,,,,,,,,,,,
105,26880,41.43857232,639,0,0,0,0,1.903122962,-0.038516564,-0.013370762,2.68E-05,0.010526292,0,0,0,0
,,,,,,,,,,,,,,,,
106,27136,39.91250977,646,0,0,0,0,1.920773208,-0.025519936,-0.004383204,4.05E-06,0.004759833,0,0,0,0
,,,,,,,,,,,,,,,,
107,27392,39.35218153,652,0,0,0,0,1.930449069,-0.020062114,-0.006354636,2.88E-06,0.003763073,0,0,0,0
,,,,,,,,,,,,,,,,
108,27648,40.41893967,658,0,0,0,0,1.93227905,-0.016415271,-0.005035659,2.76E-06,0.002509779,0,0,0,0
,,,,,,,,,,,,,,,,
109,27904,39.69902618,665,0,0,0,0,1.936374426,-0.012648526,-0.003105907,1.09E-06,0.00202189,0,0,0,0
,,,,,,,,,,,,,,,,
110,28160,40.24098166,671,0,0,0,0,1.9413867,-0.011165532,-0.002749622,6.16E-07,0.001156737,0,0,0,0
,,,,,,,,,,,,,,,,
111,28416,40.18683452,678,0,0,0,0,1.938007414,-0.008756028,-0.002904093,1.50E-06,0.002217954,0,0,0,0
,,,,,,,,,,,,,,,,
112,28672,40.77297816,684,0,0,0,0,1.944484174,-0.007676423,-0.002324284,1.68E-06,0.000903496,0,0,0,0
,,,,,,,,,,,,,,,,
113,28928,41.52973157,690,-1,0,-1,-1,1.904236615,-0.046021692,0.05124091,0.015456999,0.017913724,-1,0,-1,-1
,,,,,,,,,,,,,,,,
114,29184,42.52747549,696,-1,0,-1,-1,1.801616192,-0.115091853,-0.030330079,0.000553812,0.092776525,-1,0,-1,-1
,,,,,,,,,,,,,,,,
115,29440,42.42388826,702,0,0,0,0,1.921987176,-0.038260598,-0.011150164,1.68E-05,0.008365793,0,0,0,0
,,,,,,,,,,,,,,,,
116,29696,43.59170732,708,-1,0,-1,-1,1.904754043,-0.074817717,0.043266879,0.013865618,0.046554083,-1,0,-1,-1
,,,,,,,,,,,,,,,,
117,29952,43.11332943,714,0,0,0,0,1.898331225,-0.063844645,-0.02060941,0.000146226,0.021232965,0,0,0,0
,,,,,,,,,,,,,,,,
118,30208,42.98904232,720,0,0,0,0,1.932042658,-0.038693188,-0.00836494,3.75E-06,0.005868116,0,0,0,0
,,,,,,,,,,,,,,,,
119,30464,43.13239212,726,0,0,0,0,1.920957267,-0.032666562,-0.011170433,1.80E-05,0.006370856,0,0,0,0
,,,,,,,,,,,,,,,,
120,30720,41.13694391,732,0,0,0,0,1.924978733,-0.026574324,-0.007607476,5.10E-06,0.004228066,0,0,0,0
,,,,,,,,,,,,,,,,
121,30976,41.03751987,738,0,0,0,0,1.923465848,-0.014191103,-0.003701128,1.18E-05,0.003298287,0,0,0,0
,,,,,,,,,,,,,,,,
122,31232,41.43130832,744,0,0,0,0,1.901323974,-0.028362834,-0.013774201,8.49E-05,0.015587291,0,0,0,0
,,,,,,,,,,,,,,,,
123,31488,41.50654357,751,0,0,0,0,1.928155422,-0.015681406,-0.006671417,7.74E-06,0.006063647,0,0,0,0
,,,,,,,,,,,,,,,,
124,31744,40.40867373,757,0,0,0,0,1.931907117,-0.008239942,-0.00112045,6.15E-06,0.00265165,0,0,0,0
,,,,,,,,,,,,,,,,
125,32000,40.58907717,763,0,0,0,0,1.892112136,-0.026486835,-0.003029216,3.30E-05,0.022872831,0,0,0,0
,,,,,,,,,,,,,,,,
126,32256,39.99045451,770,0,0,0,0,1.915350616,-0.013429951,-0.006982446,3.55E-06,0.005525166,0,0,0,0
,,,,,,,,,,,,,,,,
127,32512,38.96053071,776,0,0,0,0,1.935445964,-0.013094001,-0.002494177,7.40E-07,0.001671156,0,0,0,0
,,,,,,,,,,,,,,,,
128,32768,40.04503517,783,0,0,0,0,1.930942357,-0.012865438,-0.003878022,1.87E-06,0.005004955,0,0,0,0
,,,,,,,,,,,,,,,,
129,33024,40.36695482,789,-1,0,-1,-1,1.853666902,-0.052640371,0.05047401,0.014721783,0.024008671,-1,0,-1,-1
,,,,,,,,,,,,,,,,
130,33280,39.57489673,795,-1,0,-1,-1,1.912285864,-0.033661768,-0.003404388,2.06E-05,0.011386975,-1,0,-1,-1
,,,,,,,,,,,,,,,,
131,33536,41.03193863,802,-0.5,0.5,-1,0,1.896880567,-0.064799741,0.047283838,0.018040709,0.053112642,-0.5,0.5,-1,0
,,,,,,,,,,,,,,,,
132,33792,40.28956869,808,-1,0,-1,-1,1.938359618,-0.012964902,-0.002686054,7.04E-07,0.001740325,-1,0,-1,-1
,,,,,,,,,,,,,,,,
133,34048,40.18888015,814,0,0,0,0,1.915827692,-0.031903598,-0.008544717,2.68E-05,0.007075531,0,0,0,0
,,,,,,,,,,,,,,,,
