update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,return_mean,return_std,return_min,return_max
105,26880,30.08028167,798,6.808388114,0.305719625,6,6.940789223,"['-0.629', '-0.074', '-0.015']","['0.192', '0.005', '0.002']",0.92387219,0.011139745,0.905263186,0.940789461
,,,,,,,,,,,,,
106,27136,30.18671441,807,6.159590668,2.177764987,0,6.940789223,"['-0.268', '0.003', '-0.007']","['0.059', '0.002', '0.001']",0.929539487,0.010100551,0.910000026,0.940789461
,,,,,,,,,,,,,
107,27392,29.66684341,815,6.842210579,0.280901542,6,6.959736824,"['-0.368', '-0.012', '0.008']","['0.194', '0.001', '0.002']",0.935789479,0.010137545,0.924210548,0.959736824
,,,,,,,,,,,,,
108,27648,29.33649734,824,6,0,6,6,"['0.077', '0.103', '0.105']","['0.012', '0.000', '0.001']",0,0,0,0
,,,,,,,,,,,,,
109,27904,29.0343389,833,6.551403522,0.399494247,6,6.933684349,"['0.191', '0.091', '0.058']","['0.038', '0.008', '0.003']",0.827105284,0.106578946,0.720526338,0.93368423
,,,,,,,,,,,,,
110,28160,29.28455851,842,5.5,0.5,5,6,"['0.335', '0.153', '0.135']","['0.056', '0.003', '0.043']",-1,0,-1,-1
,,,,,,,,,,,,,
111,28416,33.26783892,849,6.531666756,0.385241562,6,6.900526524,"['0.416', '0.209', '-0.026']","['0.200', '0.041', '0.006']",0.797500014,0.10302633,0.694473684,0.900526345
,,,,,,,,,,,,,
112,28672,31.98242009,857,3,0,3,3,"['0.616', '0.421', 'None']","['0.364', '0.080', 'None']",0,0,0,0
,,,,,,,,,,,,,
113,28928,29.04394697,866,3.344868422,3.344868422,0,6.689736843,"['0.461', '-0.643', '-0.025']","['0.323', '0.118', '0.002']",0.689736843,0,0.689736843,0.689736843
,,,,,,,,,,,,,
114,29184,29.1200965,875,3.328289509,3.328289509,0,6.656579018,"['0.433', '-0.059', '-0.005']","['0.256', '0.001', '0.002']",0.656578958,0,0.656578958,0.656578958
,,,,,,,,,,,,,
115,29440,28.52391663,884,6,0,6,6,"['0.412', '0.040', '0.068']","['0.226', '0.004', '0.000']",0,0,0,0
,,,,,,,,,,,,,
116,29696,28.1928801,893,4.879210472,1.879210472,3,6.758420944,"['-0.683', '0.245', '-0.027']","['0.557', '0.129', '0.008']",0.758421063,0,0.758421063,0.758421063
,,,,,,,,,,,,,
